BusinessEntityID,FirstName,LastName,NationalIDNumber,JobTitle,BirthDate,HireDate,VacationHours,SickLeaveHours
29,Mark,McArthur,948320468,Production Technician - WC60,9/25/1979,1/23/2009,19,29
30,Britta,Simon,410742000,Production Technician - WC60,9/28/1989,1/29/2009,14,27
31,Margie,Shoop,750246141,Production Technician - WC60,5/20/1986,1/4/2009,18,29
32,Rebecca,Laszlo,330211482,Production Technician - WC60,7/10/1977,12/29/2008,23,31
33,Annik,Stahl,801758002,Production Technician - WC60,12/26/1976,12/17/2008,17,28
34,Suchitra,Mohan,754372876,Production Technician - WC60,6/10/1987,2/16/2009,15,27
35,Brandon,Heidepriem,999440576,Production Technician - WC60,1/10/1977,2/8/2009,22,31
36,Jose,Lugo,788456780,Production Technician - WC60,7/31/1984,2/10/2009,20,30
37,Chris,Okelberry,442121106,Production Technician - WC60,8/7/1986,3/7/2009,16,28
38,Kim,Abercrombie,6298838,Production Technician - WC60,12/14/1966,1/16/2010,24,32
39,Ed,Dudenhoefer,461786517,Production Technician - WC60,9/11/1971,2/5/2010,25,32
40,JoLynn,Dobney,309738752,Production Supervisor - WC60,1/16/1956,12/26/2007,82,61
41,Bryan,Baker,458159238,Production Technician - WC60,8/27/1973,1/21/2009,35,37
42,James,Kramer,339712426,Production Technician - WC60,7/25/1984,12/27/2008,39,39
43,Nancy,Anderson,693325305,Production Technician - WC60,11/19/1988,1/2/2009,34,37
44,Simon,Rapier,276751903,Production Technician - WC60,5/17/1990,12/8/2008,38,39
45,Thomas,Michaels,500412746,Production Technician - WC60,1/10/1986,2/26/2009,37,38
46,Eugene,Kogan,66073987,Production Technician - WC60,2/10/1976,2/8/2009,36,38
47,Andrew,Hill,33237992,Production Supervisor - WC10,9/6/1988,2/22/2009,65,52
48,Ruth,Ellerbrock,690627818,Production Technician - WC10,6/4/1956,1/6/2008,83,61
49,Barry,Johnson,912265825,Production Technician - WC10,3/26/1956,1/7/2008,88,64
50,Sidney,Higa,844973625,Production Technician - WC10,8/30/1956,2/2/2008,84,62
51,Jeffrey,Ford,132674823,Production Technician - WC10,7/11/1956,2/20/2008,85,62
52,Doris,Hartwig,565090917,Production Technician - WC10,4/4/1956,3/10/2008,86,63
53,Diane,Glimp,9659517,Production Technician - WC10,3/29/1956,3/28/2008,87,63
54,Bonnie,Kearney,109272464,Production Technician - WC10,9/10/1986,1/1/2010,89,64
55,Taylor,Maxwell,233069302,Production Supervisor - WC50,4/1/1956,2/8/2008,79,59
56,Denise,Smith,652535724,Production Technician - WC50,7/6/1988,2/5/2009,9,24
57,Frank,Miller,10708100,Production Technician - WC50,7/24/1971,2/23/2009,10,25
58,Kendall,Keil,571658797,Production Technician - WC50,5/30/1986,12/5/2008,11,25
59,Bob,Hohman,843479922,Production Technician - WC50,8/16/1979,12/24/2008,12,26
60,Pete,Male,827686041,Production Technician - WC50,2/3/1977,1/11/2009,13,26
61,Diane,Tibbott,92096924,Production Technician - WC50,8/9/1989,1/18/2009,8,24
62,John,Campbell,494170342,Production Supervisor - WC60,8/7/1956,3/17/2008,81,60
63,Maciej,Dusza,414476027,Production Technician - WC60,1/30/1955,1/29/2010,30,35
64,Michael,Zwilling,582347317,Production Technician - WC60,9/5/1973,2/23/2010,26,33
65,Randy,Reeves,8066363,Production Technician - WC60,4/28/1970,2/23/2010,29,34
66,Karan,Khanna,834186596,Production Technician - WC60,3/7/1970,12/22/2009,28,34
67,Jay,Adams,63179277,Production Technician - WC60,2/11/1976,3/5/2009,32,36
68,Charles,Fitzgerald,537092325,Production Technician - WC60,9/2/1971,12/3/2009,27,33
69,Steve,Masters,752513276,Production Technician - WC60,4/6/1991,2/15/2009,31,35
70,David,Ortiz,36151748,Production Technician - WC60,12/29/1984,12/15/2008,33,36
71,Michael,Ray,578935259,Production Supervisor - WC30,1/29/1989,2/15/2009,70,55
72,Steven,Selikoff,443968955,Production Technician - WC30,5/14/1977,12/1/2008,41,40
73,Carole,Poland,138280935,Production Technician - WC30,10/19/1983,12/19/2008,42,41
74,Bjorn,Rettig,420023788,Production Technician - WC30,11/6/1989,1/7/2009,43,41
75,Michiko,Osada,363996959,Production Technician - WC30,6/27/1982,1/26/2009,44,42
76,Carol,Philips,227319668,Production Technician - WC30,10/17/1988,2/12/2009,45,42
77,Merav,Netz,301435199,Production Technician - WC30,5/13/1983,3/3/2009,46,43
78,Reuben,D'sa,370989364,Production Supervisor - WC40,8/27/1987,12/15/2008,72,56
79,Eric,Brown,697712387,Production Technician - WC40,12/8/1966,1/24/2010,60,50
80,Sandeep,Kaliyath,943170460,Production Technician - WC40,12/3/1970,1/17/2010,65,52
81,Mihail,Frintu,413787783,Production Technician - WC40,3/9/1971,12/29/2009,64,52
82,Jack,Creasey,58791499,Production Technician - WC40,8/29/1973,3/3/2010,62,51
83,Patrick,Cook,988315686,Production Technician - WC40,12/23/1973,2/12/2010,61,50
84,Frank,Martinez,947029962,Production Technician - WC40,3/2/1952,2/5/2010,66,53
85,Brian,Goldstein,1662732,Production Technician - WC40,12/23/1970,12/11/2009,63,51
86,Ryan,Cornelsen,769680433,Production Technician - WC40,6/13/1972,1/5/2009,59,49
87,Cristian,Petculescu,7201901,Production Supervisor - WC10,4/11/1984,12/22/2008,67,53
88,Betsy,Stadick,294148271,Production Technician - WC10,12/17/1966,12/18/2009,99,69
89,Patrick,Wedge,90888098,Production Technician - WC10,9/10/1986,2/1/2010,96,68
90,Danielle,Tiedt,82638150,Production Technician - WC10,9/7/1986,2/20/2010,97,68
91,Kimberly,Zimmerman,390124815,Production Technician - WC10,9/13/1986,1/12/2010,95,67
92,Tom,Vande Velde,826454897,Production Technician - WC10,10/1/1986,3/10/2010,98,69
93,Kok-Ho,Loh,778552911,Production Supervisor - WC50,4/28/1980,12/27/2008,78,59
94,Russell,Hunter,718299860,Production Technician - WC50,11/25/1972,12/12/2008,6,23
95,Jim,Scardelis,674171828,Production Technician - WC50,9/8/1986,12/19/2008,1,20
96,Elizabeth,Keyser,912141525,Production Technician - WC50,1/25/1990,3/2/2009,5,22
97,Mandar,Samant,370581729,Production Technician - WC50,3/21/1986,2/10/2009,0,20
98,Sameer,Tejani,152085091,Production Technician - WC50,6/26/1978,2/11/2009,4,22
99,Nuan,Yu,431859843,Production Technician - WC50,3/29/1979,1/6/2009,2,21
100,Lolan,Song,204035155,Production Technician - WC50,1/24/1973,1/12/2009,7,23
101,Houman,Pournasseh,153288994,Production Technician - WC50,8/30/1971,1/25/2009,3,21
102,Zheng,Mu,360868122,Production Supervisor - WC10,10/26/1983,12/3/2008,66,53
103,Ebru,Ersan,455563743,Production Technician - WC10,9/22/1986,12/6/2009,93,66
104,Mary,Baker,717889520,Production Technician - WC10,9/19/1986,12/25/2009,94,67
105,Kevin,Homer,801365500,Production Technician - WC10,9/19/1986,12/25/2009,90,65
106,John,Kane,561196580,Production Technician - WC10,9/28/1986,2/27/2010,92,66
107,Christopher,Hill,393421437,Production Technician - WC10,10/1/1986,2/8/2010,91,65
108,Jinghao,Liu,630184120,Production Supervisor - WC50,2/5/1989,12/8/2008,77,58
109,Alice,Ciccu,113695504,Production Technician - WC50,1/26/1978,12/7/2008,95,67
110,Jun,Cao,857651804,Production Technician - WC50,7/6/1979,12/14/2008,90,65
111,Suroor,Fatima,415823523,Production Technician - WC50,2/25/1978,12/17/2008,93,66
112,John,Evans,981597097,Production Technician - WC50,5/31/1978,1/1/2009,91,65
113,Linda,Moschell,54759846,Production Technician - WC50,7/17/1987,12/25/2008,96,68
114,Mindaugas,Krapauskas,342607223,Production Technician - WC50,5/7/1978,1/13/2009,97,68
115,Angela,Barbariol,563680513,Production Technician - WC50,5/31/1991,1/20/2009,92,66
116,Michael,Patten,398737566,Production Technician - WC50,5/3/1974,1/31/2009,98,69
117,Chad,Niswonger,599942664,Production Technician - WC50,8/4/1990,2/18/2009,99,69
118,Don,Hall,222400012,Production Technician - WC50,6/13/1971,2/13/2009,88,64
119,Michael,Entin,334834274,Production Technician - WC50,6/15/1989,2/25/2009,94,67
120,Kitti,Lertpiriyasuwat,211789056,Production Technician - WC50,6/6/1987,3/4/2009,89,64
121,Pilar,Ackerman,521265716,Shipping and Receiving Supervisor,9/9/1972,1/2/2009,93,66
122,Susan,Eaton,586486572,Stocker,2/17/1978,12/7/2008,97,68
123,Vamsi,Kuppa,337752649,Shipping and Receiving Clerk,3/18/1977,12/7/2008,95,67
124,Kim,Ralls,420776180,Stocker,4/30/1984,12/26/2008,98,69
125,Matthias,Berndt,584205124,Shipping and Receiving Clerk,11/11/1973,1/20/2009,94,67
126,Jimmy,Bischoff,652779496,Stocker,5/4/1985,2/26/2009,96,68
127,David,Hamilton,750905084,Production Supervisor - WC40,7/2/1983,1/3/2009,73,56
128,Paul,Komosinski,384162788,Production Technician - WC40,11/13/1980,12/4/2008,68,54
129,Gary,Yukish,502058701,Production Technician - WC40,5/16/1988,12/22/2008,69,54
130,Rob,Caron,578953538,Production Technician - WC40,8/4/1973,2/13/2009,71,55
131,Baris,Cetinok,273260055,Production Technician - WC40,10/7/1990,2/15/2009,72,56
132,Nicole,Holliday,1300049,Production Technician - WC40,4/9/1986,2/22/2009,67,53
133,Michael,Rothkugel,830150469,Production Technician - WC40,1/4/1991,1/10/2009,70,55
134,Eric,Gubbels,45615666,Production Supervisor - WC20,1/19/1985,1/14/2009,40,40
135,Ivo,Salmre,964089218,Production Technician - WC20,1/3/1982,12/4/2008,9,24
136,Sylvester,Valdez,701156975,Production Technician - WC20,11/12/1970,12/11/2009,4,22
137,Anibal,Sousa,63761469,Production Technician - WC20,9/5/1974,2/23/2009,8,24
138,Samantha,Smith,25011600,Production Technician - WC20,11/22/1987,2/4/2009,7,23
139,Hung-Fu,Ting,113393530,Production Technician - WC20,10/23/1971,1/6/2010,0,20
140,Prasanna,Samarawickrama,339233463,Production Technician - WC20,4/30/1953,1/22/2010,5,22
141,Min,Su,872923042,Production Technician - WC20,9/10/1974,1/24/2010,1,20
142,Olinda,Turner,163347032,Production Technician - WC20,4/4/1970,3/4/2010,3,21
143,Krishna,Sunkammurali,56772045,Production Technician - WC20,9/5/1971,2/13/2010,2,21
144,Paul,Singh,886023130,Production Technician - WC20,11/4/1990,1/17/2009,6,23
145,Cynthia,Randall,386315192,Production Supervisor - WC30,8/18/1981,1/27/2009,69,54
146,Jian Shuo,Wang,160739235,Production Technician - WC30,6/25/1989,12/7/2008,36,38
147,Sandra,Reátegui Alayo,604664374,Production Technician - WC30,11/5/1975,12/26/2008,37,38
148,Jason,Watters,733022683,Production Technician - WC30,12/7/1988,1/14/2009,38,39
149,Andy,Ruth,764853868,Production Technician - WC30,10/20/1983,1/31/2009,39,39
150,Michael,Vanderhyde,878395493,Production Technician - WC30,9/18/1982,2/26/2009,35,37
151,Rostislav,Shabalin,993310268,Production Technician - WC30,9/13/1977,2/19/2009,40,40
152,Yuhong,Li,319472946,Production Supervisor - WC20,4/6/1977,2/1/2009,41,40
153,Hanying,Feng,568596888,Production Technician - WC20,10/16/1974,12/16/2008,15,27
154,Raymond,Sam,97728960,Production Technician - WC20,3/2/1967,12/23/2008,10,25
155,Fadi,Fakhouri,212801092,Production Technician - WC20,2/15/1989,1/4/2009,16,28
156,Lane,Sacksteder,322160340,Production Technician - WC20,9/23/1974,1/11/2009,11,25
157,Linda,Randall,812797414,Production Technician - WC20,10/5/1977,2/3/2009,12,26
158,Shelley,Dyck,300946911,Production Technician - WC20,12/8/1986,3/7/2009,14,27
159,Terrence,Earls,404159499,Production Technician - WC20,12/8/1984,2/16/2009,13,26
160,Jeff,Hay,712885347,Production Supervisor - WC45,1/15/1977,1/21/2009,74,57
161,Kirk,Koenigsbauer,275962311,Production Technician - WC45,2/6/1985,12/15/2008,74,57
162,Laura,Steele,514829225,Production Technician - WC45,12/25/1980,1/3/2009,75,57
163,Alex,Nayberg,377784364,Production Technician - WC45,4/13/1990,2/8/2009,77,58
164,Andrew,Cencini,65848458,Production Technician - WC45,9/24/1988,3/6/2009,73,56
165,Chris,Preston,539490372,Production Technician - WC45,12/16/1988,1/22/2009,76,58
166,Jack,Richins,60114406,Production Supervisor - WC30,6/22/1983,2/21/2009,68,54
167,David,Johnson,498138869,Production Technician - WC30,11/2/1979,12/2/2008,25,32
168,Garrett,Young,271438431,Production Technician - WC30,8/25/1984,12/7/2008,34,37
169,Susan,Metters,351069889,Production Technician - WC30,4/2/1983,12/14/2008,31,35
170,George,Li,476115505,Production Technician - WC30,4/16/1977,12/21/2008,26,33
171,David,Yalovsky,746373306,Production Technician - WC30,8/3/1981,1/2/2009,32,36
172,Marc,Ingle,364818297,Production Technician - WC30,10/24/1986,1/16/2009,22,31
173,Eugene,Zabokritski,87268837,Production Technician - WC30,7/15/1987,1/21/2009,33,36
174,Benjamin,Martin,585408256,Production Technician - WC30,1/5/1986,1/27/2009,28,34
175,Reed,Koch,259388196,Production Technician - WC30,1/8/1989,2/2/2009,23,31
176,David,Lawrence,860123571,Production Technician - WC30,9/23/1985,2/14/2009,29,34
177,Russell,King,551346974,Production Technician - WC30,2/11/1982,2/21/2009,24,32
178,John,Frum,568626529,Production Technician - WC30,3/24/1982,3/3/2009,27,33
179,Jan,Miksovsky,587567941,Production Technician - WC30,11/15/1974,3/5/2009,30,35
180,Katie,McAskill-White,862951447,Production Supervisor - WC20,11/18/1984,2/20/2009,42,41
181,Michael,Hines,545337468,Production Technician - WC20,11/17/1984,12/9/2008,20,30
182,Nitin,Mirchandani,368920189,Production Technician - WC20,12/1/1986,12/28/2008,21,30
183,Barbara,Decker,969985265,Production Technician - WC20,7/2/1979,1/22/2009,17,28
184,John,Chen,305522471,Production Technician - WC20,4/5/1986,2/9/2009,18,29
185,Stefen,Hesse,621932914,Production Technician - WC20,12/21/1975,2/28/2009,19,29
186,Shane,Kim,551834634,Production Supervisor - WC45,5/24/1990,2/8/2009,75,57
187,Yvonne,McKay,713403643,Production Technician - WC45,4/15/1989,12/9/2008,79,59
188,Douglas,Hite,435234965,Production Technician - WC45,11/24/1985,12/27/2008,80,60
189,Janeth,Esteves,187369436,Production Technician - WC45,7/24/1972,1/15/2009,81,60
190,Robert,Rounthwaite,456839592,Production Technician - WC45,2/28/1985,2/2/2009,82,61
191,Lionel,Penuchot,399658727,Production Technician - WC45,3/14/1988,2/26/2009,78,59
192,Brenda,Diaz,634335025,Production Supervisor - WC40,2/28/1983,3/5/2009,71,55
193,Alejandro,McGuel,761597760,Production Technician - WC40,12/5/1988,12/6/2008,52,46
194,Fred,Northup,295971920,Production Technician - WC40,6/25/1989,12/12/2008,47,43
195,Kevin,Liu,918737118,Production Technician - WC40,12/25/1985,12/17/2008,58,49
196,Shammi,Mohamed,370487086,Production Technician - WC40,10/4/1980,12/24/2008,53,46
197,Rajesh,Patel,632092621,Production Technician - WC40,10/4/1977,12/31/2008,48,44
198,Lorraine,Nay,19312190,Production Technician - WC40,11/26/1988,1/4/2009,49,44
199,Paula,Nartker,992874797,Production Technician - WC40,2/10/1987,1/12/2009,54,47
200,Frank,Lee,749211824,Production Technician - WC40,9/6/1987,1/17/2009,56,48
201,Brian,Lloyd,746201340,Production Technician - WC40,2/10/1977,1/29/2009,55,47
202,Tawana,Nusbaum,436757988,Production Technician - WC40,11/10/1989,2/5/2009,50,45
203,Ken,Myer,693168613,Production Technician - WC40,5/28/1981,2/24/2009,51,45
204,Gabe,Mares,440379437,Production Technician - WC40,5/10/1988,3/8/2009,57,48
205,Lori,Kane,332349500,Production Supervisor - WC45,7/18/1980,2/26/2009,76,58
206,Stuart,Munson,835460180,Production Technician - WC45,9/13/1962,12/2/2008,84,62
207,Greg,Alderson,687685941,Production Technician - WC45,10/18/1970,12/2/2008,85,62
208,Scott,Gode,199546871,Production Technician - WC45,2/10/1987,1/8/2009,86,63
209,Kathie,Flood,167554340,Production Technician - WC45,11/1/1990,1/27/2009,87,63
210,Belinda,Newman,20244403,Production Technician - WC45,9/17/1969,2/20/2009,83,61
211,Hazem,Abolrous,398223854,Quality Assurance Manager,10/26/1977,2/28/2009,80,60
212,Peng,Wu,885055826,Quality Assurance Supervisor,3/18/1976,12/9/2008,81,60
213,Sootha,Charncherngkha,343861179,Quality Assurance Technician,12/5/1966,2/23/2010,85,62
214,Andreas,Berglund,131471224,Quality Assurance Technician,3/28/1989,2/2/2009,84,62
215,Mark,Harrington,381772114,Quality Assurance Technician,4/30/1986,1/15/2009,83,61
216,Sean,Alexander,403414852,Quality Assurance Technician,3/6/1976,12/28/2008,82,61
217,Zainal,Arifin,345106466,Document Control Manager,1/30/1976,1/4/2009,77,58
218,Tengiz,Kharatishvili,540688287,Control Specialist,4/28/1990,12/16/2008,76,58
219,Sean,Chai,242381745,Document Control Assistant,3/12/1987,1/22/2009,78,59
220,Karen,Berge,260770918,Document Control Assistant,12/25/1975,2/9/2009,79,59
221,Chris,Norred,260805477,Control Specialist,5/26/1987,3/6/2009,75,57
222,A. Scott,Wright,685233686,Master Scheduler,9/17/1968,12/12/2008,44,42
223,Sairaj,Uddin,981495526,Scheduling Assistant,12/22/1987,1/26/2009,46,43
224,William,Vong,621209647,Scheduling Assistant,11/6/1981,1/7/2009,45,42
225,Alan,Brewer,470689086,Scheduling Assistant,3/29/1984,2/13/2009,47,43
226,Brian,LaMee,368691270,Scheduling Assistant,8/11/1984,3/3/2009,48,44
227,Gary,Altman,141165819,Facilities Manager,2/18/1971,12/2/2009,86,63
228,Christian,Kleinerman,553069203,Maintenance Supervisor,1/18/1976,12/14/2008,92,66
229,Lori,Penor,879334904,Janitor,7/31/1970,2/16/2010,90,65
230,Stuart,Macrae,28414965,Janitor,12/17/1971,3/5/2010,88,64
231,Jo,Berry,153479919,Janitor,4/24/1954,3/7/2010,91,65
232,Pat,Coleman,646304055,Janitor,12/3/1970,1/27/2010,89,64
233,Magnus,Hedlund,552560652,Facilities Administrative Assistant,8/27/1971,12/21/2009,87,63
234,Laura,Norman,184188301,Chief Financial Officer,1/6/1976,1/31/2009,0,20
235,Paula,Barreto de Mattos,535145551,Human Resources Manager,2/11/1976,12/6/2008,54,47
236,Grant,Culbertson,476980013,Human Resources Administrative Assistant,4/16/1976,2/25/2009,53,46
237,Hao,Chen,416679555,Human Resources Administrative Assistant,4/17/1977,2/6/2009,52,46
238,Vidur,Luthra,264306399,Recruiter,8/1/1984,1/1/2009,50,45
239,Mindy,Martin,619308550,Benefits Specialist,11/20/1984,12/25/2008,51,45
240,Willis,Johnson,332040978,Recruiter,7/18/1978,12/13/2008,49,44
241,David,Liu,30845,Accounts Manager,7/8/1983,1/30/2009,57,48
242,Deborah,Poe,363923697,Accounts Receivable Specialist,3/6/1976,12/18/2008,60,50
243,Candy,Spoon,60517918,Accounts Receivable Specialist,2/23/1976,1/6/2009,61,50
244,Bryan,Walton,931190412,Accounts Receivable Specialist,9/20/1984,1/24/2009,62,51
245,Barbara,Moreland,363910111,Accountant,1/4/1976,2/18/2009,58,49
246,Dragan,Tomic,663843431,Accounts Payable Specialist,2/14/1977,2/11/2009,63,51
247,Janet,Sheperdigian,519756660,Accounts Payable Specialist,3/9/1979,3/1/2009,64,52
248,Mike,Seamans,480951955,Accountant,7/1/1979,3/8/2009,59,49
249,Wendy,Kahn,121491555,Finance Manager,10/11/1984,12/25/2008,55,47
250,Sheela,Word,895209680,Purchasing Manager,2/10/1978,2/25/2011,49,44
251,Mikael,Sandberg,603686790,Buyer,8/17/1984,2/10/2009,59,49
252,Arvind,Rao,792847334,Buyer,8/21/1974,2/28/2009,60,50
253,Linda,Meisner,407505660,Buyer,11/30/1970,12/17/2009,56,48
254,Fukiko,Ogisu,482810518,Buyer,11/24/1970,1/4/2010,57,48
255,Gordon,Hee,466142721,Buyer,11/29/1966,1/11/2010,52,46
256,Frank,Pellow,367453993,Buyer,5/12/1952,1/23/2010,58,49
257,Eric,Kurjan,381073001,Buyer,9/17/1972,1/27/2010,54,47
258,Erin,Hagens,785853949,Buyer,1/4/1971,1/31/2010,53,46
259,Ben,Miller,20269531,Buyer,6/3/1973,3/9/2010,55,47
260,Annette,Hill,437296311,Purchasing Assistant,1/29/1978,12/6/2010,50,45
261,Reinout,Hillmann,280633567,Purchasing Assistant,1/17/1978,12/25/2010,51,45
262,David,Barber,231203233,Assistant to the Chief Financial Officer,6/21/1964,1/12/2009,56,48
263,Jean,Trenary,441044382,Information Services Manager,12/13/1975,12/11/2008,65,52
264,Stephanie,Conroy,858323870,Network Manager,3/25/1984,2/4/2009,68,54
265,Ashvini,Sharma,749389530,Network Administrator,3/27/1977,12/4/2008,70,55
266,Peter,Connelly,672243793,Network Administrator,5/28/1980,2/23/2009,69,54
267,Karen,Berg,58317344,Application Specialist,5/19/1978,2/16/2009,74,57
268,Ramesh,Meyyappan,314747499,Application Specialist,3/13/1988,2/3/2009,73,56
269,Dan,Bacon,671089628,Application Specialist,5/26/1987,1/11/2009,72,56
270,François,Ajenstat,643805155,Database Administrator,5/17/1975,1/17/2009,67,53
271,Dan,Wilson,929666391,Database Administrator,1/6/1976,1/22/2009,66,53
272,Janaina,Bueno,525932996,Application Specialist,1/30/1985,12/23/2008,71,55
273,Brian,Welcker,112432117,Vice President of Sales,6/6/1977,2/15/2011,10,25
274,Stephen,Jiang,502097814,North American Sales Manager,10/17/1951,1/4/2011,14,27
275,Michael,Blythe,841560125,Sales Representative,12/25/1968,5/31/2011,38,39
276,Linda,Mitchell,191644724,Sales Representative,2/27/1980,5/31/2011,27,33
277,Jillian,Carson,615389812,Sales Representative,8/29/1962,5/31/2011,24,32
278,Garrett,Vargas,234474252,Sales Representative,2/4/1975,5/31/2011,33,36
279,Tsvi,Reiter,716374314,Sales Representative,1/18/1974,5/31/2011,29,34
280,Pamela,Ansman-Wolfe,61161660,Sales Representative,12/6/1974,5/31/2011,22,31
281,Shu,Ito,139397894,Sales Representative,3/9/1968,5/31/2011,26,33
282,José,Saraiva,399771412,Sales Representative,12/11/1963,5/31/2011,31,35
283,David,Campbell,987554265,Sales Representative,2/11/1974,5/31/2011,23,31
284,Tete,Mensa-Annan,90836195,Sales Representative,1/5/1978,9/30/2012,39,39
285,Syed,Abbas,481044938,Pacific Sales Manager,1/11/1975,3/14/2013,20,30
286,Lynn,Tsoflias,758596752,Sales Representative,2/14/1977,5/30/2013,36,38
287,Amy,Alberts,982310417,European Sales Manager,9/20/1957,4/16/2012,21,30
288,Rachel,Valdez,954276278,Sales Representative,7/9/1975,5/30/2013,35,37
289,Jae,Pak,668991357,Sales Representative,3/17/1968,5/30/2012,37,38
290,Ranjit,Varkey Chudukatil,134219713,Sales Representative,9/30/1975,5/30/2012,34,37
